ue nodais;1,85;3,7;5,55;7,4;9,25;11,1;12,95;14,8;16,65;18,5
1;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
2;58,8200;21,9125;24,6352;16,9236;17,3430;13,8868;13,6525;11,5120;11,0420;9,5229
3;82,7037;53,3776;40,4067;37,6726;30,5674;29,6590;24,9009;24,0202;20,5200;19,5865
4;92,8765;74,4070;58,6676;52,0867;46,0547;41,2834;37,5549;33,6461;30,8005;27,5835
5;97,0059;86,8361;73,6350;64,7700;58,4491;52,4776;47,5490;43,0672;38,9063;35,3950
6;98,7617;93,4213;84,1212;75,1837;68,1584;61,6662;55,8013;50,6056;45,7982;41,5259
7;99,4671;96,7046;90,5796;82,7261;75,2661;68,3899;61,9610;56,1838;50,9043;46,1213
8;99,7501;98,1926;93,9532;87,1934;79,6459;72,4610;65,7622;59,6151;54,0370;48,9601
9;99,8210;98,6074;94,9855;88,6643;81,1273;73,8267;67,0448;60,7772;55,0915;49,9226
